owner_type,repository,month,state
Organization,roboception/rc_genicam_api,2019-09,Running
Organization,roboception/rc_genicam_api,2019-10,Running
Organization,roboception/rc_genicam_api,2019-11,Running
Organization,roboception/rc_genicam_api,2019-12,Running
Organization,roboception/rc_genicam_api,2020-01,Running
Organization,roboception/rc_genicam_api,2020-02,Running
Organization,roboception/rc_genicam_api,2020-03,Running
Organization,roboception/rc_genicam_api,2020-04,Running
Organization,roboception/rc_genicam_api,2020-05,Zombie
Organization,roboception/rc_genicam_api,2020-06,Zombie
Organization,roboception/rc_genicam_api,2020-07,Running
Organization,roboception/rc_genicam_api,2020-08,Zombie
Organization,roboception/rc_genicam_api,2020-09,Running
Organization,roboception/rc_genicam_api,2020-10,Running
Organization,roboception/rc_genicam_api,2020-11,Dead
Organization,roboception/rc_genicam_api,2020-12,Running
Organization,roboception/rc_genicam_api,2021-01,Dead
Organization,roboception/rc_genicam_api,2021-02,Running
Organization,roboception/rc_genicam_api,2021-03,Running
Organization,roboception/rc_genicam_api,2021-04,Running
Organization,roboception/rc_genicam_api,2021-05,Running
Organization,roboception/rc_genicam_api,2021-06,Running
Organization,roboception/rc_genicam_api,2021-07,Running
Organization,roboception/rc_genicam_api,2021-08,Running
Organization,roboception/rc_genicam_api,2021-09,Running
Organization,roboception/rc_genicam_api,2021-10,Running
Organization,roboception/rc_genicam_api,2021-11,Zombie
Organization,roboception/rc_genicam_api,2021-12,Zombie
Organization,roboception/rc_genicam_api,2022-01,Running
Organization,roboception/rc_genicam_api,2022-02,Running
Organization,roboception/rc_genicam_api,2022-03,Running
Organization,roboception/rc_genicam_api,2022-04,Dead
Organization,roboception/rc_genicam_api,2022-05,Running
Organization,roboception/rc_genicam_api,2022-06,Zombie
Organization,roboception/rc_genicam_api,2022-07,Dead
Organization,roboception/rc_genicam_api,2022-08,Running
Organization,roboception/rc_genicam_api,2022-09,Dead
Organization,roboception/rc_genicam_api,2022-10,Running
Organization,roboception/rc_genicam_api,2022-11,Running
Organization,roboception/rc_genicam_api,2022-12,Zombie
Organization,roboception/rc_genicam_api,2023-01,Running
Organization,roboception/rc_genicam_api,2023-02,Running
Organization,roboception/rc_genicam_api,2023-03,Zombie
Organization,roboception/rc_genicam_api,2023-04,Running
Organization,roboception/rc_genicam_api,2023-05,Running
Organization,roboception/rc_genicam_api,2023-06,Running
Organization,roboception/rc_genicam_api,2023-07,Zombie
Organization,roboception/rc_genicam_api,2023-08,Zombie
Organization,roboception/rc_genicam_api,2023-09,Dead
Organization,roboception/rc_genicam_api,2023-10,Running
Organization,roboception/rc_genicam_api,2023-11,Running
Organization,roboception/rc_genicam_api,2023-12,Running
Organization,roboception/rc_genicam_api,2024-01,Dead
Organization,roboception/rc_genicam_api,2024-02,Dead
Organization,roboception/rc_genicam_api,2024-03,Running
Organization,roboception/rc_genicam_api,2024-04,Dead
Organization,roboception/rc_genicam_api,2024-05,Dead
Organization,roboception/rc_genicam_api,2024-06,Running
Organization,roboception/rc_genicam_api,2024-07,Dead
Organization,roboception/rc_genicam_api,2024-08,Running
Organization,roboception/rc_genicam_api,2024-09,Dead
Organization,roboception/rc_genicam_api,2024-10,Running
Organization,roboception/rc_genicam_api,2024-11,Running
Organization,roboception/rc_genicam_api,2024-12,Running
Organization,roboception/rc_genicam_api,2025-01,Dead
Organization,roboception/rc_genicam_api,2025-02,Dead
Organization,roboception/rc_genicam_api,2025-03,Running
Organization,roboception/rc_genicam_api,2025-04,Running
Organization,roboception/rc_genicam_api,2025-05,Dead
Organization,roboception/rc_genicam_api,2025-06,Dead
Organization,roboception/rc_genicam_api,2025-07,Running
Organization,roboception/rc_genicam_api,2025-08,Dead
Organization,roboception/rc_genicam_api,2025-09,Dead
Organization,roboception/rc_genicam_api,2025-10,Dead
Organization,roboception/rc_genicam_api,2025-11,Dead
Organization,roboception/rc_genicam_api,2025-12,Dead
Organization,roboception/rc_genicam_api,2026-01,Zombie
Organization,roboception/rc_genicam_api,2026-02,Dead
Organization,roboception/rc_genicam_api,2026-03,Dead
Organization,roboception/rc_genicam_driver_ros2,2021-01,Running
Organization,roboception/rc_genicam_driver_ros2,2021-02,Running
Organization,roboception/rc_genicam_driver_ros2,2021-03,Running
Organization,roboception/rc_genicam_driver_ros2,2021-04,Dead
Organization,roboception/rc_genicam_driver_ros2,2021-05,Dead
Organization,roboception/rc_genicam_driver_ros2,2021-06,Dead
Organization,roboception/rc_genicam_driver_ros2,2021-07,Running
Organization,roboception/rc_genicam_driver_ros2,2021-08,Running
Organization,roboception/rc_genicam_driver_ros2,2021-09,Dead
Organization,roboception/rc_genicam_driver_ros2,2021-10,Dead
Organization,roboception/rc_genicam_driver_ros2,2021-11,Running
Organization,roboception/rc_genicam_driver_ros2,2021-12,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-01,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-02,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-03,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-04,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-05,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-06,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-07,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-08,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-09,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-10,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-11,Dead
Organization,roboception/rc_genicam_driver_ros2,2022-12,Dead
Organization,roboception/rc_genicam_driver_ros2,2023-01,Running
Organization,roboception/rc_genicam_driver_ros2,2023-02,Dead
Organization,roboception/rc_genicam_driver_ros2,2023-03,Running
Organization,roboception/rc_genicam_driver_ros2,2023-04,Dead
Organization,roboception/rc_genicam_driver_ros2,2023-05,Dead
Organization,roboception/rc_genicam_driver_ros2,2023-06,Zombie
Organization,roboception/rc_genicam_driver_ros2,2023-07,Dead
Organization,roboception/rc_genicam_driver_ros2,2023-08,Dead
Organization,roboception/rc_genicam_driver_ros2,2023-09,Dead
Organization,roboception/rc_genicam_driver_ros2,2023-10,Dead
Organization,roboception/rc_genicam_driver_ros2,2023-11,Zombie
Organization,roboception/rc_genicam_driver_ros2,2023-12,Running
Organization,roboception/rc_genicam_driver_ros2,2024-01,Dead
Organization,roboception/rc_genicam_driver_ros2,2024-02,Dead
Organization,roboception/rc_genicam_driver_ros2,2024-03,Dead
Organization,roboception/rc_genicam_driver_ros2,2024-04,Dead
Organization,roboception/rc_genicam_driver_ros2,2024-05,Dead
Organization,roboception/rc_genicam_driver_ros2,2024-06,Running
Organization,roboception/rc_genicam_driver_ros2,2024-07,Running
Organization,roboception/rc_genicam_driver_ros2,2024-08,Dead
Organization,roboception/rc_genicam_driver_ros2,2024-09,Dead
Organization,roboception/rc_genicam_driver_ros2,2024-10,Dead
Organization,roboception/rc_genicam_driver_ros2,2024-11,Dead
Organization,roboception/rc_genicam_driver_ros2,2024-12,Dead
Organization,roboception/rc_genicam_driver_ros2,2025-01,Dead
Organization,roboception/rc_genicam_driver_ros2,2025-02,Dead
Organization,roboception/rc_genicam_driver_ros2,2025-03,Dead
Organization,roboception/rc_genicam_driver_ros2,2025-04,Dead
Organization,roboception/rc_genicam_driver_ros2,2025-05,Dead
Organization,roboception/rc_genicam_driver_ros2,2025-06,Running
Organization,roboception/rc_genicam_driver_ros2,2025-07,Running
Organization,roboception/rc_genicam_driver_ros2,2025-08,Dead
Organization,roboception/rc_genicam_driver_ros2,2025-09,Dead
Organization,roboception/rc_genicam_driver_ros2,2025-10,Dead
Organization,roboception/rc_genicam_driver_ros2,2025-11,Dead
Organization,roboception/rc_genicam_driver_ros2,2025-12,Dead
Organization,roboception/rc_genicam_driver_ros2,2026-01,Dead
Organization,roboception/rc_genicam_driver_ros2,2026-02,Running
Organization,roboception/rc_genicam_driver_ros2,2026-03,Dead
Organization,roboception/rc_reason_clients_ros2,2020-05,Running
Organization,roboception/rc_reason_clients_ros2,2020-06,Running
Organization,roboception/rc_reason_clients_ros2,2020-07,Running
Organization,roboception/rc_reason_clients_ros2,2020-08,Dead
Organization,roboception/rc_reason_clients_ros2,2020-09,Dead
Organization,roboception/rc_reason_clients_ros2,2020-10,Dead
Organization,roboception/rc_reason_clients_ros2,2020-11,Dead
Organization,roboception/rc_reason_clients_ros2,2020-12,Dead
Organization,roboception/rc_reason_clients_ros2,2021-01,Running
Organization,roboception/rc_reason_clients_ros2,2021-02,Dead
Organization,roboception/rc_reason_clients_ros2,2021-03,Dead
Organization,roboception/rc_reason_clients_ros2,2021-04,Running
Organization,roboception/rc_reason_clients_ros2,2021-05,Dead
Organization,roboception/rc_reason_clients_ros2,2021-06,Dead
Organization,roboception/rc_reason_clients_ros2,2021-07,Dead
Organization,roboception/rc_reason_clients_ros2,2021-08,Dead
Organization,roboception/rc_reason_clients_ros2,2021-09,Dead
Organization,roboception/rc_reason_clients_ros2,2021-10,Dead
Organization,roboception/rc_reason_clients_ros2,2021-11,Dead
Organization,roboception/rc_reason_clients_ros2,2021-12,Dead
